Sentence,encode_tags
tẩy_chay công_ty thuỵ_điển nhưng vẫn ủng_hộ xiaomi tiktok huawei,2
` gió đưa cây cải về trời 1kg rau_muống dinh_dưỡng hơn 1kg thịt bò nha bây `,4
tao sợ báo việt_nam quá rồi từ vụ anh dưa_leo tới vụ này chán _,1
vừa phơi vài chiếc quần xịp của hm vừa nghe a leo diễn_giải,7
quả cuối video cách tẩy_chay quá đỉnh,2
phân_tích vấn_đề rất có chiều sâu nhìn góc_độ ở phương_diện <NUM> chiều phải nói dưa_leo hơi bị hay cho anh <NUM> like,2
em mới đọc tựa thôi là phải bay vô cmt liền anh quá chính_xác đừng tiếp_tay cho trung + tẩy_chay châu_âu nếu yêu nước thì tẩy_chay tiktok xiaomi huawei,2
trước giờ chưa mua đồ h mày nên mình quyết_định tẩy_chay h mày bằng cách tiếp_tục không mua đồ của nó,2
<NUM> <NUM> nay có thêm view ban_công nhà hàng_xóm thoáng mát ghia,2
em củng ấp_ủ những câu hỏi như anh em cảm_thấy buồn anh a leo à,5
tẩy_chay bằng cách mua hết áo của h mày để họ không bán dc quần,2
đợt trước kêu tẩy_chay nguyễn trần_trung_quân vì cái vụ gì lấy_lòng fan tq đó xong bây_giờ ra mv mới cũng thấy ủng_hộ ầm_ầm,1
trung_quốc không kiểm_duyệt vừa có video mới về cách mà chính_phủ trung_quốc tẩy_chay các nhãn hàng mà phải nói là tẩy cả não toàn đất_nước luôn mới đúng,0
thấm ở đoạn cuối ghê,2
đúng tẩy_chay ở vn chẳng có ý_nghĩa gì vụ tẩy_chay nổi_tiếng nhất vn là bột_ngọt vedan các đại_lí thấy giá rẻ nhập về bán nhiều hơn và người mua lạ còn tăng vì rẻ mà,4
chào_leo tui muốn thấy góc nhìn của ông về nạn quảng_cáo trên youtube kiểu các thần dược lừa_đảo ấy <NUM> đời nhà tui,4
mới coi chú kumahuy xong qa coi a dưa_leo liền lun đúng chanel tự_do bao_giờ cũng hay,2
sợ thiệt nói tẩy_chay dr_thanh tương_ớt chinsu c2 tân_hiệp_phát có tẩy được cái gì đâu,1
anh làm clip về việc sống thử trước hôn_nhân đi a,4
chưa coi thấy chủ_đề phải like,2
dua leo cũng có tài về phân_tích con_người lúc trước hơi quá_trớn nhưng nay biết kiểm_soát đỡ hơn trước,2
lấy điện_thoại xiaomi lên tiktok phản_đối h mày sử_dụng bản_đồ đường lưỡi bò,4
ta nói thích nhất cái cao_kiến ` chụp_mũ ` ta nói hay không ngờ luôn,6
<NUM> <NUM> nghe anh leo nói chí mạng quá không vẫn mãi theo_dõi clip của anh,2
đa_số các bạn hay đọc thông_tin vội_vàng mà quên phân_tích để xem nó hợp_lý hay không từ đó các bạn hoàn_toàn bị xỏ_mũi bởi truyền_thông mình muốn phân_tích để tìm ra vấn_đề và mở_rộng tư_duy và góc nhìn hơn cuối_cùng mình bị <NUM> nhóm bạn chửi sml không hiểu kiểu gì luôn bored dont want to say,4
hội đó là hội nào mẹ em cho bà kia mượn 20tr từ năm <NUM> viết đơn lên phường mà còn chưa đòi dc cái gì cũng phải có tiền thì người_ta mới làm ý em là tiền công ấy chứ không dễ đâu a ơi,4
tẩy_chay đường lưỡi bò mà xài xiaomi opo tik_tok one plus thua sao không tẩy_chay samsung luôn đi nó cũng có đăng bản_đồ đlb bên tq ấy,1
hế lu ah leo vô_địch thanh_lịch khắp zũ chụ,2
<NUM> <NUM> cà_khịa báo nhân_dân,0
mình tự nhận mình là thành_phần tẩy_chay theo phong_trào ` tuy nó phũ nhưng thật tế nó thật `,2
<NUM> <NUM> <NUM> <NUM> đó là một nước đi mà em éo thể lường trước được,6
ông tổ lái haha đỉnh lắm anh leo,2
có ai đang xem clip gặp quảng_cáo trà xanh không độ không,4
view nhà đối_diện đẹp,2
thấy a leo có làm clip về ` trầm_cảm ` rồi mong a sẽ có clip về ` tự kỉ ` ạ e thấy <NUM> khái_niệm này có vẻ giống giống nhau ở điểm nào đó nhưng không phân_biệt cụ_thể được,4
<NUM> dislike chắc là tẩy chai tất_cả <NUM> không,2
nghe tới cái đoạn đó tay rung phọt cơm ra luôn đó anh gan thật chứ,6
trước khi tẩy_chay h mày hãy tẩy_chay tik tok sam sung microsoft cũng có bản_đồ hình đường lưỡi bò đó tẩy đi tao cho đói hết,0
vụ chụp_mũ đã đx chứng_kiến <NUM> lần với <NUM> người làm nghệ_thuật mà mình biết đó là thành_lộc và đạo_diễn phim phượng_khấu nghệ_sĩ thành_lộc là người rất thẳng thắng nhất_là khi nói về vấn_đề tq còn phim phượng_khấu thì có cài cắm về chủ_quyền biển đảo hoàng_sa,0
anh nói lên những khía_cạnh khác nhau của sự_việc sâu_sắc và sâu_cay anh đúng là siêu cấp vô_địch_thủ khắp vũ_trụ,2
thống_kê còn thiếu vedan nữa hồi kỳ nó bức chết sông thị_vải cũng hè nhau tẩy_chay rồi giừo đi siêu_thị thấy nhãn hàng đó vẫn sống khoẻ như chưa từng có gì xảy ra,0
giống bọn con_nít hay nói ai mà xem a dl ủng_hộ a dl là auto pđ không cần biết a đang nói về gì,2
hay quá a leo ơi đúng là phải chụp cái mũ đó thì mới vui lận không,2
trung quoc ah sh tao here we go again,1
anh dưa_chuột biết chơi meme kìa chems luôn,2
quả cuối không làm ae thất_vọng,2
khoái cái thumbnail ghê,2
ủa hoá_ra bấy_lâu_nay góc_quay clip là cái phòng ngày_xưa tới giờ luôn à haha,2
chuẩn luôn,2
làm về ăn_xin công_nghệ trên youtube đi bạn có người xem video và nhận quảng_cáo đã có tiền nhưng vẫn xin donate,0
mk vd cho mới quen ny thằng bạn mày bảo hôm trước tao thấy nó đứng_đường ở tdh,4
cái đám ghét a nghe đến đoạn cuối dù tnao cũng không thể không công_nhận là quá đúng,2
vn còn lâu lắm nữa mới dân_chủ đc như a_leo nói mà thôi kệ cứ cố_gắng nâng cao_trình_độ dân_trí thôi,4
ý_kiến thứ <NUM> đỉnh_cao lắm anh hay lắm,2
xem xong thì mình cũng biết cách tẩy_chay anh dưa_leo,1
chỉ cần thấy video của anh là em auto like luôn mặc_dù coi luôn anh nói quá hay,2
background cũ đi a ơi,5
tẩy_chay hả oke tẩy_chay h mày nhưng vẫn donate cho idol trung_q làm debut ờ thì card giải_trí đéo liên_quan chính_trị,0
xem báo nước_ngoài thì tụi bò bảo mình ` bị báo truyền_thông phương tây dắt_mũi `,0
<NUM> <NUM> sub có bị nhầm không a leo,4
khúc cuối hay hay hay đét đét đét,2
trời_ơi plot_twist hay quá anh ơi haha,2
việt_nam một tất cũng không thiếu,2
những vụ tẩy_chay này tui coment như leo nói thì toàn bị chửi trung quốc nó biết nên nó làm cho tẩy_chay hết mọi thứ tới lúc đó mình cũng teo luôn h mày bị chính_phủ trung quốc ép đăng nhưng nó không đăng thành_ra bị triệt,0
rồi mọi người sẽ quên câu_chuyện này giống như quên những phát_ngôn của ngọc_trinh hay hồ_ngọc hà_thôi trong trường_hợp này anh là nạn_nhân bất_đắc_dĩ nhưng rồi mọi chuyện sẽ trôi vào quên_lãng thôi hãy tiếp_tục sống cống_hiến và làm_việc anh nhé,1
cách cuối hay quá trời anh huy ơi,2
khúc cuối phê quá cảm_ơn dưa_leo,2
cú chốt đi zào lòng người,2
hình_như tin này có từ abc news á anh,2
thâm quá anh ơi,2
con không bik nói gì hơn luôn chú leo hay quá,2
cái hình ns lưỡi bò ròi sao lại đánh con,2
ủng_hộ lê chí thành nữa các bạn ơi,4
<NUM> <NUM> tuổi dễ bị dắt_mũi lắm vì cứ nghĩ đời là màu hồng đâu_đâu cũng đẹp <NUM> <NUM> tuổi lo cắm_đầu_vào sự_nghiệp <NUM> tuổi trở_đi sống ích_kỉ nhiều hơn do lăn_lộn với đời thấm_thía tiêu_cực xã_hội,0
mơ cái thứ <NUM> đi sếp leo không bao_giờ có và sẽ không bao_giờ xảy ra không,1
đúng nói có sách mách có chứng tối_ngày thế_lực thù_địch đâu không thấy toàn thấy chụp_mũ,0
cái cuối đúng là tuyệt_vời,2
clip này tính_chất cà_khịa cao quá,2
em đã vạch_trần cái âm_mưu tẩy_chay hàng_hóa đến từ tq,2
tí thì giống dl vụ nước_mắm đó,1
đến lúc cần ủng_hộ hàng việt chất_lượng tẩy_chay thói sính ngoại mù_quáng,0
còn thằng nào vẫn đang uống ` dr thanh ` không,4
sao lại wed anh suốt ngày chửi bọn em phải la web rồi anh lại viết sai,1
nói chính_quyền vn bắt h mày dùng bản_đồ không có đlb còn chính_quyền tq bắt bản_đồ phải có đlb._vậy chọn giữa vn và tq tụi nó vẫn chọn tq e thấy không đơn_giản lắm,4
best lun a ơi,2
hay thật_sự a leo ơi,2
<NUM> <NUM> là ‘ search nhé em thiếu r,4
kẻ_thù của kẻ_thù là bạn toàn mấy đứa ngu mới đi tẩy_chay cái kiểu cào phím thôi trong khi bọn nó vẫn hàng ngày xài đồ trung quốc sản_xuất hàng của chính hãng tq mặc đồ tq tiêu_thụ văn_hóa phẩm thằng tq cbiz blah blah đánh rắn thì không đập đầu nó mà cứ đi làm mấy việc đâu_đâu tẩy_chay hết văn_hóa tq du_lịch tq blah blah đi thì đấy mới là yêu nước,0
like cách cuối là hay nhất hiệu_quả nhất buồn_cười quá,2
xem cmt thì bị quảng_cáo_buộc phải kéo xuống lần nữa xem_lại,4
tự_nhiên có cái meme chó chữ h mày ủng_hộ đường lưỡi bò rồi có cái hình đường lưỡi bò lấy đâu trên gogle bỏ vô xong dân mạng bắt_đầu nã đạn,0
tôi cũng rất sợ các bạn trẻ yêu nước kiểu ` ba mứa ` tay nhanh hơn não nhưng trên tiktok fb các bạn làm rần_rần như là yêu nước lắm vậy trong khi có nhiều vấn_đề nhức_nhối hơn mà các bạn sợ không dám lên_tiếng và chỉ biết hùa theo đám đông,0
clip vẫn chưa đề_cập đến những cái mắc cười của trẻ trâu như <NUM> dùng điện_thoại xiaomi opo huawei để post status tẩy_chay đường lưỡi bò <NUM> dùng ap tik tok của tq để cào phím ` hs ts là của vn ` <NUM> tẩy_chay h mày nhưng thay_thế bằng đồ pha ke quảng_châu,1
người việt nam mình không có tính đoàn_kết về mặt tinh_thần đa_số vẫn suy_nghĩ lợi_ích cho bản_thân thôi,1
anh leo ơi anh làm clip về mấy bộ phim nội_dung về truyền_thông thao_túng xã_hội đi,4
tôi thấy tẩy_chay tốt nhất là mua hàng giả nó vừa thiệt_hại mà mình lại ủng_hộ dân mình faker,4
nhóm a dzua,4
đính_chính lại thông_tin nha anh leo <NUM> quốc_hội đã bỏ việc ` đặt máy_chủ ` tại vn của luận anm chỉ đặt trụ_sở đại_diện thôi,4
<NUM> 43h sáng,4
không biết bác ngạn đã gặp ma chưa nhỉ mà sao tả cứ như người trong cuộc nghe quá đã,2
bác ngạn chọn cái kết rùng_rợn thay cho cái kết thoả_đáng khiến chuyện này giá_trị kinh_điển nhất_thời nhưng không đủ thoả_mãn bền lâu,3
phải làm đến cùng chứ truy_tố ông kia,0
ai tên mai và tên dung vào nhận hàng kìa,2
mong cô mai được siêu_thoát đầu_thai,5
cái này là căn nhà số <NUM> mà,4
nghe nhạc đã sợ r ý huhu,3
muốn nghe tiếp mà không còn nữa sao mn không tìm cách giải_oan cho cô ấy để họ đc siêu_thoát nam_mô a di_đà_phật,3
cảm_ơn kênh không có quảng_cáo,2
mai và dung ơi nhận hàng kìa,2
ai thua thì thì,2
có <NUM> câu_chuyện đọc đi đọc lại,1
đổi tên làm gì vậy ad để tên đúng đi bạn nó là căn nhà số <NUM> mà,0
rất hay ạ nhất_là khi nghe vào ban_đêm bật quạt cho lạnh tắt đèn là phê la_,2
viết cũng hay,4
tựa đề khác nhau nhưng nội_dung y_hệt căn nha số <NUM>,0
emganmaroi,4
sợ thật nhưng vẫn muốn nghe,3
so mà không có truyện ma thì không_thể ngu được,2
cháu cảm_ơn chú nguyễn_ngọc_ngạn và chị kỳ_duyên đọc rất hay có tuyệt_vời nhưng không có truyện mới chú ngạn làm chuyện ma là năm <NUM> đi chú ngạn ơi,2
sợ_hãi quá,3
má đổi tewn nhiều vchg,0
tối nào cũng không_thể ngu được nghe truyện là gay khò khò,2
công_nhận giọng a ngạn đọc dễ ngủ thật,2
truyen doc cūa anh ngan hay nhut giong nhu cach lam mc toi rat nguong mo tai nang cua anh,2
vẫn là chú ngạn c kỳ duyên và c hồng_đào nghe thật vãi,2
tối_k giám nghe,3
nghe giọng ong toi buon ngu quá bai bay,2
can nha nay hien gio o dau cho toi di toi qua o cho viet nam noi la lam,2
cuối_cùng cô mai vẫn không đc giải_oan,5
chưa bao_giờ nghe được hồi kết,1
truyện này là căn nhà số <NUM> mà đổi tên thôi,0
con ma quá_giang căn nhà <NUM> và hồn cô mai hiện về còn tên nào nữa mày chán vl,1
căn nhà số <NUM> nè nghe cũng chục lần rồi vẫn còn nghe,2
sao ma vua tieng viet vua tieng anh vậy đọc kiẻu gị_vậy,0
nghiện từ vn là sao nhỉ mn,4
rất kinh_dị,3
sợ đái ra quần,3
không ai cứu cô mai_sao,4
bùa đây,4
chú ngạn có kênh chính chủ mà sao lại up truyện lên kênh này nhỉ,4
đúng con_cái nhìn thấy ma còn cố mà mua để cho bố_mẹ ở lại còn tự nơm_nớp lo_sợ haha,2
truyện ma_ hay quá,2
chuyện này căn nhà <NUM> doi tên chi_vậy ng ta nghe là biết liền,0
khuya ma nghe chú ngạn kể chuyện ma không quíu mới sợ,3
truyện ma kinh_sợ,3
chỉ nghe ban_ngày,3
mọi người xem bài viết dưới đây sẽ hiểu vì_sao việt_nam xảy ra những vụ án giết người hàng_loạt hãm_hiếp trẻ_con loạn_luân tự_tử không rõ nguyên_nhân mất tiền trong các tài_khoản ngân_hàng tham_nhũng xem xong bài viết dưới đây những ai đang bị trình trạng như bài viết dưới đây thì không nên sử_dụng tài_khoản ngân_hàng mà nên nhờ người_thân giữ giùm nha mọi người,0
vậy là cô mai không đc siêu_thoát rồi tại_sao không giúp cô mai giải_oan để cô đc siêu_thoát,0
tiếng gõ_cửa lúc nửa_đêm vs căn nhà số <NUM> hồn cô mai hiện về <NUM> cái như một phát chán,1
nghe cái giọng của chú ngạn lạnh_tanh ghê_wa,3
ủa_vậy là xong r hả sao không giải_oan bắt hung_thủ_vậy trời,0
sao bác ngạn ác_vậy cô mai chưa giải_oan mà,0
nhà_đất kiêi gì đấng,0
sao kết_thúc nhạt thế nhỉ,1
sợ nhưng vẫn thích nghe,2
chuyen rat hay,2
hồn_ma là có thật,2
2h2,4
nghe vào buổi tối mà tắt toàn_bộ điện trong nhà mới sợ,3
có thật bú view vừa thui,2
nghe cũng hay hấp_dẫn hơn nhạc,0
copy chuyen cua nguoi ta khg biet nhuc sao ma con doi ủng_hộ,4
bố tội nghiện thuốc từ việt_nam bên nc ngoài siêu_thị sài_gòn mở chi_nhánh việt_nam cuối_cùng căn nhà này nước nào,4
c hồng_đào nói giọng bắc hay phết,2
vãi,3
đáng sợ quá cháu nghe buổi tối vì mẹ bảo thế mẹ cháu cứ cười,3
chú đọc truyện mới đi mấy câu_chuyện này cháu nge nhiều lắm rồi,1
căn nhà số <NUM> đm thay tên ít thôi truyện bác ngạn tao nghe hết r,0
con lài sao kứ hiên về nhà làng,4
truyện căn nhà_số <NUM> mà lấy cái tên khác nhìn cứ tưởng truyện mới,1
thüa anh ngan câu chuyên rât hâp dân và giong doc tuyêt vöi tuy_nhiên cái kêt không düöc êm giông nhü chuyên bay êm mà phi_công dáp sóc lúc dên nöi höi uô ng dó anh em xin thüa thât vöi anh cåm nghi cua em dê xây dung mà thôi em tên là däng båo_oánh trong facebok em là adrian_dang em häng mong düöc chào anh dã lâu em xin chúc anh ngan luôn vui manh và bình an trong moi khía canh cua cuôc döi em kính chào anh a,0
lừa_đảo hả con,2
bác ngạn kể hay tiếng nghe ấm_áp,4
chuyện bác ngạn hay mà mỗi tội chuyện nào viết cũng dở_dang rồi mãi chẳng thấy viết tiếp,1
lại là can nhà số <NUM>,1
ông chồng oái ăm thật,2
dm cu doi ten roi bao_la truyen moi lao leu,0
top 10truyện ma_sợ,2
béo mỗi thằng toàn mua đi bán lại liên_tục,4
chuyen rat hay,2
co mot truyen ma cu doi tua hoai,1
hay quá,2
chú đọc hay quá,2
hay q ik,2
bo kg co truyen khac hay sao troi,1
ngọc_ngạn chỉ được bao_nhiêu đó thôi,1
nghe ngủ quên mơ giật_mình luôn haha,2
hay sướng cái đc hay lại không có qc,2
ông ngạn có phải là mc của thúy nga không nhỉ,4
căn nhà số <NUM> mà toàn tựa đề tào_lao,1
ok,2
chú ngạn kể nghe ghê quá,2
truyện này là căn nhà số <NUM> mà,0
ok,2
giọng của a ngạn nghe truyện gì cũng hay dễ ngủ,2
<NUM> <NUM> cho ai lười,4
sau khi nghe chi pu tao có_thể tự_tin với con đường âm_nhạc của mình hơn,2
kháng giả ngồi coi ở dưới khi chương_trình kết_thúc chi pu sẽ phát cho mỗi người 20k tiền bồi_dưỡng vì đã cố_gắng lắng_nghe bã hét ôi vl ~,1
<NUM> <NUM> cười muốn xỉu,2
vẫn còn nhớ nguyên_vẹn cảm_xúc khi xem chương_trình này ` bữa trưa kinh_hoàng `,3
tôi nghe đi nghe lại đoạn <NUM> phút <NUM> để tạo niềm vui sau <NUM> ngày làm_việc vất_vả hí hí hí,2
<NUM> <NUM>,4
khúc hát đéo nổi đưa mic cho khán_giả hát chipu khôn thật,0
mấy đứa cố_gắng nghe hết bài xíu xong tre_phát cho mỗi đứa 50k rửa tai à nha_,2
ái đông nầu ài đống nâu ám ịn lợp,2
sao nghe mà cảm_giác cứ như mày đag bơi mà có ng dìm mày xuống vậy ta cứ đuối tn ấy,1
bữa trưa vui_vẻ bố_mẹ quát tắt_tv đi con trời_đánh tránh miếng ăn không,2
cảm_thấy đã tự_tin hơn về giọng hát của mình,2
mỗi lần mà nghe chipu hát xong là tao thấy tự_tin hát karaoke vl,2
lên cao bể tan_nát,1
<NUM> <NUM>,4
tôi dám chắc_ăn là mấy ông bà nội vừa nghe thông_tin the_remix sắp tới có chipu nên lục lại clip này ôi bữa trưa kinh cmn hoàng,6
không chỉ không hát đc nốt cao mà hát còn không có cảm_xúc nghe mệt lol giùm,1
bả diễn cứ như bả hát hay lắm í cười_ỉa,2
bữa trưa vui_vẻ — bữa trưa kinh_hoàng của tôi,0
<NUM> <NUM> cười xỉu,2
chị làm diễn_viên là được rồi chị không cần phải cố làm ca_sĩ đâu khi giọng hát như thế này chi pu ơi,0
thiệt tui nghe bà hàng_xóm hát karaoke còn hay hơn nhiều,1
t_đợi mấy đứa fan vào bào_chữa cho thảm_họa này cầm mic mà không thấy nhục còn tự nhận lm ca_sĩ trước nó làm hot_girl thích nó giờ nó tự nhận nó là ca_sĩ muốn nói_tục,0
<NUM> <NUM>,4
đừng cho chi pu ảo_tưởng nữa bác hàng_xóm nhà mình còn hát hay hơn,0
<NUM> <NUM>,4
có ai kiên_nhẫn như mình xem hết bài để xem khán_giả có ai bị buồn_nôn không mà sao mình nghe xong thấy chóng_mặt quá ` cái quái gì đang xảy ra `,6
xinh mặt_dày không biết xấu_hổ nỗ_lực không ngừng không biết giới_hạn mãi yêu,0
giờ tôi có_thể tự_tin hát trước đám đông rồi trước giờ cứ nghĩ mình hát dở các bác ạ,2
t_thích nghe chipu hát giống như xem gặp nhau cuối tuần,2
hãy ~ nghe con tim nói rằng,6
nghe xong phải qua xem_lại bữa trưa vui_vẻ số của thùy_chi _ giữ em đi,2
tag chi pu vào nghe nà,2
<NUM> <NUM>,4
có ai bên ai cũng biết hát tìm lại nghe bể giọng không,4
mỗi lần nghe con này hát tao vừa hồi_hộp vừa đau tim,3
xỉu dow xỉu up,6
tội mấy bạn khán_giả vl,6
bữa trưa kinh_hoàng,3
ai đang ăn cơm với cá cân_nhắc trước khi xem lên cao dễ bị hóc lắm,3
má ới xem mà muốn xỉu,3
cô ý thật can_đảm dám phô_diễn giọng hát trước đám đông,6
',4
hát kiểu như hấp_hối tới nơi về làm người_mẫu ảnh đi chị ơi,0
thiệt nghĩ chi pu lên cho khán_giả hát giao_lưu nhiều hơn thì bài sẽ có cảm_xúc và có_khi hay hơn,1
ui_cha mạ mèn đét ơi tui cười lộn_ruột,2
nghe chipu hát xong quên mẹ bản_gốc luôn i love you em quá tuyệt_vời,6
nghe lời ông bà_già kêu ` con_gái ba mẹ hát hay quá làm ca_sỹ đi con ` cha_mẹ cũng có lúc sai_lầm mà chipu,6
ủa làm như hong nhận ra mình hát như quần què hay sao á,0
háy nghe con tym nói ra,2
chắc khán_giả được photo tên sẵn cho cầm,1
tính giải_trí rất cao cảm_ơn chi pu,2
cảm_ơn chi pu nhờ giọng hát của em mà anh hết dc táo_bón thực_sự cảm_ơn,2
rất là gần gủi <NUM> <NUM>,2
này là đang vòng cating cuộc thi ` ` can_đảm thể_hiện ` ` mà,4
hãy nghe con tim nói rằng nghỉ mẹ đi nhé em,0
chỉ khổ cho mấy ôg mấy bà ngồi đó chứ tao xem thì tao chỉ đọc cm của mọi ng thui chứ hát vậy thì nên đi thách_thức danh_hài,6
trời ạ ca_sĩ dễ thật,6
nghe chipu hát tự_nhiên mày cũng ảo_tưởng chắc mình cũng dư sức làm ca_sĩ mong_chipu chỉ nên làm diễn_viên thôi cái gì quá khả_năng thì_thôi buông giùm cái cố quá thành quá_cố giờ,6
cả bài chỗ loz nào cũng buồn_cười mà mn không cần chỉ chỗ nào bcuoi đâu,2
nghe nó kỳ kỳ sao đâu ý khúc nào cũng như khúc ý không phân_biệt đc xong bài không nhớ vừa hát cái j luôn t_t,1
ôi_chao_ôi,6
nghe ở mất nốt lên cao như kiểu bị mắc đờm ấy nhể,1
nghe nói chi_pu là ca_sĩ chuyên_nghiệp tui thấy ca_sĩ hát dở ms đúng á,0
văn_mai_hương quốc_thiên giờ ra sao rồi,4
cười_ị,2
cuộc_đời nó bất_công vậy đó,2
mõi khi bạn bị stres hãy vào xem chi pâu live và đọc bình_luận chỉ có như_vậy mới giải được stres,2
đúng là đàn gẩy tai trâu,0
thấy thương cho <NUM> chữ vtv6,6
này là cố_gắng lắm r,2
quan_trọng vẫn là thần_thái nha_k,2
chẳng hiểu sao nhiều người ngồi ở đâý có nhịn cười hay không nx,0
tao mà có ở đó là tao xỉu luôn r nghe xong muốn nhồi máu cơ tim,1
nhìn thấy tội tội cho mấy đứa cầm băng_rôn vẫy từ đầu đến lúc thảm_hoạ hát xong,6
vẫn còn người hát hay hơn mình,4
ra là nhờ bài này bã moi hot_vậy,2
tội tụi nhỏ ngồi cổ_vũ cho nữ_hoàng thảm_họa hài quá không,5
con này hát mình muốn khóc về gọi anh_trai lệ rơi lên hát chung cho đủ bộ,5
ca_sĩ của năm,2
lên tone kì vậy thành giọng mái r,0
một người đàn_ông đang chờ em hát xong để được lên giường thì sẽ thấy em hát rất hay rất gây kích_thích ngoài người ấy ra thì tất_cả sẽ đều không đủ khả_năng để cảm_nhận được tiếng hát của em hãy bỏ_qua họ em nhé,4
nghỉ đi g gần cài_đặt không win được,4
tội cả <NUM> bạn đứng trên kia lắc lắc_lư_lư,5
tao cứ thắc_mắc sao khán_giả lại mang theo túi ninon như đi ăn cỗ giờ tao hiểu rồi,4
hát đúng độ lun á,2
giải_trí quá ạ mãi ew chị chi chị võ huyền chi lồng_tiếng phim sakura,2
con đường dài phía trước,2
cứ đến đoạn hãy là tao lại cảm_thấy xúc_phạm người nghe,0
em toi nghe và bảo cũng hay mà sau đấy toi phải dành nhiều tg giải_thích cho nó giọng hay để hát karaoke vs bạn và giọng hay để làm ca_sĩ nó khác nhau rất xa vậy,0
tại mấy đứa bị trả tiền cho việc ngồi nghe và cổ_vũ đó,0
dùng xong bữa tre hát nôn hết ra rồi nè,3
tông_nam à,4
ai đông nô bây bi_ai đông nâu tiếng anh_chị phát_âm chuẩn quá,0
thằng chỉnh âm chân_thật wa bị đuổi nhá không,2
thật là vl,2
hay vl đi dk,2
cười_vl,2
chị làm em cảm_thấy mình có động_lực cố_gắng hơn rất nhiều khi em thấy chị làm theo những điều mà mình tin và không bỏ_cuộc mãi yêu <NUM>,2
